Year,Month,Product,State,Requirement(in' MT),Availability(in' MT),,,
2014-2015,September,UREA,Orissa,0.00,9635.25,,,
2014-2015,September,DAP,Pondicherry,0.00,0.00,,,
2014-2015,September,MAP,Pondicherry,0.00,0.00,,,
2014-2015,September,MOP,Pondicherry,0.00,122.00,,,
2014-2015,September,NPK,Pondicherry,0.00,286.75,,,
2014-2015,September,TSP,Pondicherry,0.00,0.00,,,
2014-2015,September,UREA,Pondicherry,0.00,0.85,,,
2014-2015,September,DAP,Punjab,0.00,24496.75,,,
2014-2015,September,MAP,Punjab,0.00,0.00,,,
2014-2015,September,MOP,Punjab,0.00,9473.35,,,
2014-2015,September,NPK,Punjab,0.00,2227.50,,,
2014-2015,September,TSP,Punjab,0.00,3355.30,,,
2014-2015,September,UREA,Punjab,0.00,3173.45,,,
2014-2015,September,DAP,Rajasthan,0.00,13073.05,,,
2014-2015,September,MAP,Rajasthan,0.00,0.00,,,
2014-2015,September,MOP,Rajasthan,0.00,2418.15,,,
2014-2015,September,NPK,Rajasthan,0.00,913.10,,,
2014-2015,September,TSP,Rajasthan,0.00,3526.25,,,
2014-2015,September,UREA,Rajasthan,0.00,22399.25,,,
2014-2015,September,DAP,Sikkim,0.00,0.00,,,
2014-2015,September,MAP,Sikkim,0.00,0.00,,,
2014-2015,September,MOP,Sikkim,0.00,0.00,,,
2014-2015,September,NPK,Sikkim,0.00,0.00,,,
